raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
Residential_Compound Abha على أرض مساحتها 9611 م²، مساحة البناء 5366 م²، 18 أدوار.,Residential_Compound,Abha,5551,19,Luxury,64,synthetic
مشروع Hotel في Makkah بمساحة 14304 م² وعدد 4 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Makkah,14175,4,Raw,61,synthetic
"Project: Hotel in Riyadh, built-up area 18113 sqm, 30 floors. Quality finishing required.",Hotel,Riyadh,17656,29,UltraLuxury,91,synthetic
مشروع Villa في Madinah بمساحة 16726 م² وعدد 25 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Madinah,16493,26,Premium,63,synthetic
مشروع Mosque في Khamis Mushait بمساحة 16911 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Khamis Mushait,16978,15,Premium,76,synthetic
Development of a Government_Building in Dammam with a total area of 18738 square meters across 17 floors.,Government_Building,Dammam,18881,18,Standard,77,synthetic
Development of a Hospital in Taif with a total area of 2145 square meters across 13 floors.,Hospital,Taif,2182,12,Standard,91,synthetic
Development of a Residential_Compound in Makkah with a total area of 10392 square meters across 10 floors.,Residential_Compound,Makkah,10005,10,Luxury,76,synthetic
مشروع Apartment_Building في Najran بمساحة 15039 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Najran,14786,10,Standard,89,synthetic
"Project: School in Khobar, built-up area 10871 sqm, 21 floors. Quality finishing required.",School,Khobar,11086,22,Raw,64,synthetic
Hospital Khobar على أرض مساحتها 22212 م²، مساحة البناء 15425 م²، 19 أدوار.,Hospital,Khobar,15365,19,Standard,74,synthetic
Development of a Luxury_Villa in Hail with a total area of 19697 square meters across 9 floors.,Luxury_Villa,Hail,18331,9,UltraLuxury,78,synthetic
إنشاء School في مدينة Tabuk بمساحة إجمالية 16072 متر مربع مكون من 7 طوابق.,School,Tabuk,15699,7,UltraLuxury,78,synthetic
"Project: Hotel in Dammam, built-up area 13666 sqm, 2 floors. Quality finishing required.",Hotel,Dammam,13231,2,Luxury,96,synthetic
مشروع Hotel في Makkah بمساحة 9517 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Makkah,9785,19,Raw,79,synthetic
"Project: Townhouse_Project in Khobar, built-up area 12725 sqm, 16 floors. Quality finishing required.",Townhouse_Project,Khobar,12264,15,Raw,78,synthetic
"Project: Parking in Buraydah, built-up area 16122 sqm, 15 floors. Quality finishing required.",Parking,Buraydah,15454,15,Raw,95,synthetic
مشروع University في Makkah بمساحة 7401 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Makkah,7534,11,Good,85,synthetic
"Project: Mall in Khobar, built-up area 11676 sqm, 30 floors. Quality finishing required.",Mall,Khobar,11386,29,Luxury,93,synthetic
DataCenter Riyadh على أرض مساحتها 51892 م²، مساحة البناء 17334 م²، 4 أدوار.,DataCenter,Riyadh,17600,4,Standard,77,synthetic
Townhouse_Project Madinah على أرض مساحتها 1898 م²، مساحة البناء 604 م²، 23 أدوار.,Townhouse_Project,Madinah,620,23,Standard,95,synthetic
مشروع Office_Building في Dammam بمساحة 2339 م² وعدد 20 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Dammam,2322,20,Raw,71,synthetic
إنشاء Road في مدينة Riyadh بمساحة إجمالية 13890 متر مربع مكون من 2 طوابق.,Road,Riyadh,12950,2,Standard,97,synthetic
"Project: Residential_Compound in Najran, built-up area 5433 sqm, 13 floors. Quality finishing required.",Residential_Compound,Najran,5276,13,Raw,93,synthetic
إنشاء Road في مدينة Buraydah بمساحة إجمالية 7074 متر مربع مكون من 2 طوابق.,Road,Buraydah,6668,2,UltraLuxury,75,synthetic
University Makkah على أرض مساحتها 4608 م²، مساحة البناء 1844 م²، 27 أدوار.,University,Makkah,1872,27,UltraLuxury,82,synthetic
Development of a Townhouse_Project in Abha with a total area of 17890 square meters across 24 floors.,Townhouse_Project,Abha,18121,25,Good,91,synthetic
Development of a Factory in Najran with a total area of 16345 square meters across 30 floors.,Factory,Najran,16190,30,UltraLuxury,60,synthetic
مشروع Luxury_Villa في Riyadh بمساحة 11334 م² وعدد 20 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Riyadh,12331,21,Luxury,65,synthetic
مشروع Government_Building في Riyadh بمساحة 4365 م² وعدد 30 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Riyadh,4595,28,Raw,86,synthetic
إنشاء Bridge في مدينة Khobar بمساحة إجمالية 4763 متر مربع مكون من 29 طوابق.,Bridge,Khobar,4728,28,UltraLuxury,87,synthetic
"Project: Road in Tabuk, built-up area 6283 sqm, 17 floors. Quality finishing required.",Road,Tabuk,6163,18,Standard,85,synthetic
Bridge Jeddah على أرض مساحتها 28476 م²، مساحة البناء 16349 م²، 12 أدوار.,Bridge,Jeddah,15753,11,Luxury,97,synthetic
"Project: Parking in Dammam, built-up area 15511 sqm, 11 floors. Quality finishing required.",Parking,Dammam,15694,10,Premium,78,synthetic
DataCenter Khobar على أرض مساحتها 16706 م²، مساحة البناء 7008 م²، 16 أدوار.,DataCenter,Khobar,7073,15,Luxury,75,synthetic
Bridge Dammam على أرض مساحتها 21546 م²، مساحة البناء 11672 م²، 23 أدوار.,Bridge,Dammam,11202,24,Good,61,synthetic
"Project: Parking in Dammam, built-up area 1098 sqm, 28 floors. Quality finishing required.",Parking,Dammam,1115,28,Standard,91,synthetic
Government_Building Buraydah على أرض مساحتها 33022 م²، مساحة البناء 13703 م²، 28 أدوار.,Government_Building,Buraydah,14467,27,Standard,69,synthetic
Development of a Road in Hail with a total area of 1110 square meters across 18 floors.,Road,Hail,1076,17,Luxury,93,synthetic
Development of a Townhouse_Project in Madinah with a total area of 2745 square meters across 8 floors.,Townhouse_Project,Madinah,2710,8,UltraLuxury,98,synthetic
Development of a School in Dammam with a total area of 2309 square meters across 30 floors.,School,Dammam,2230,29,Standard,98,synthetic
Hospital Buraydah على أرض مساحتها 3247 م²، مساحة البناء 2052 م²، 29 أدوار.,Hospital,Buraydah,1971,30,Luxury,80,synthetic
مشروع Road في Buraydah بمساحة 4793 م² وعدد 3 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Buraydah,4983,3,UltraLuxury,77,synthetic
إنشاء Parking في مدينة Abha بمساحة إجمالية 15826 متر مربع مكون من 13 طوابق.,Parking,Abha,16126,13,Luxury,85,synthetic
مشروع DataCenter في Riyadh بمساحة 10214 م² وعدد 26 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Riyadh,10419,25,Good,84,synthetic
Residential_Tower Hail على أرض مساحتها 12544 م²، مساحة البناء 6775 م²، 30 أدوار.,Residential_Tower,Hail,6623,30,UltraLuxury,84,synthetic
"Project: Villa in Makkah, built-up area 3758 sqm, 28 floors. Quality finishing required.",Villa,Makkah,3706,28,Raw,61,synthetic
"Project: Mosque in Riyadh, built-up area 4856 sqm, 28 floors. Quality finishing required.",Mosque,Riyadh,4899,29,Good,98,synthetic
Development of a Factory in Jeddah with a total area of 8826 square meters across 11 floors.,Factory,Jeddah,9042,11,Premium,90,synthetic
مشروع Hospital في Riyadh بمساحة 17586 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Riyadh,16840,11,UltraLuxury,81,synthetic
إنشاء CommercialComplex في مدينة Madinah بمساحة إجمالية 7821 متر مربع مكون من 11 طوابق.,CommercialComplex,Madinah,8067,11,Premium,81,synthetic
Development of a Residential_Tower in Dammam with a total area of 17844 square meters across 13 floors.,Residential_Tower,Dammam,17457,13,UltraLuxury,88,synthetic
إنشاء Hotel في مدينة Hail بمساحة إجمالية 17751 متر مربع مكون من 14 طوابق.,Hotel,Hail,18281,14,Premium,77,synthetic
Development of a University in Khamis Mushait with a total area of 5806 square meters across 15 floors.,University,Khamis Mushait,5836,15,Raw,61,synthetic
Development of a Residential_Compound in Tabuk with a total area of 16304 square meters across 4 floors.,Residential_Compound,Tabuk,16531,4,Raw,67,synthetic
Development of a Parking in Khamis Mushait with a total area of 2722 square meters across 27 floors.,Parking,Khamis Mushait,2669,26,Standard,81,synthetic
مشروع Villa في Dammam بمساحة 13477 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Dammam,13748,8,Premium,71,synthetic
"Project: School in Abha, built-up area 18583 sqm, 4 floors. Quality finishing required.",School,Abha,19724,4,Luxury,75,synthetic
Development of a Parking in Najran with a total area of 18106 square meters across 21 floors.,Parking,Najran,18456,19,Luxury,93,synthetic
مشروع Mosque في Jeddah بمساحة 15186 م² وعدد 20 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Jeddah,15285,20,Premium,77,synthetic
مشروع Road في Makkah بمساحة 14837 م² وعدد 30 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Makkah,15726,30,Good,88,synthetic
مشروع CommercialComplex في Buraydah بمساحة 15638 م² وعدد 4 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Buraydah,16207,4,Luxury,94,synthetic
Development of a Government_Building in Hail with a total area of 10561 square meters across 19 floors.,Government_Building,Hail,11064,18,Good,84,synthetic
