project_id,risk_category,description,probability,impact,mitigation,detected_by_ai
SA-R00001,Schedule,Site handover delay,4,3,Accelerated procurement plan,false
SA-R00001,Safety,Confined space hazard,2,1,Enhanced safety training,false
SA-R00001,Financial,Cash flow constraint,2,3,Fixed price contracts,false
SA-R00001,Quality,Testing failure rate high,1,2,Additional testing regime,false
SA-R00001,Material,Steel corrosion risk,4,4,Alternative supplier sourcing,false
SA-R00001,Structural,Foundation settlement risk,4,1,Design review and structural analysis,false
SA-R00002,Structural,Foundation settlement risk,4,1,Design review and structural analysis,false
SA-R00002,Quality,Incomplete waterproofing,4,1,Additional testing regime,false
SA-R00002,Financial,Steel price volatility,1,3,Fixed price contracts,true
SA-R00002,Material,Aggregate gradation issue,3,3,Alternative supplier sourcing,true
SA-R00003,Material,Aggregate gradation issue,2,5,Alternative supplier sourcing,true
SA-R00003,Structural,Column failure potential,5,3,Design review and structural analysis,true
SA-R00003,Financial,Cash flow constraint,4,1,Fixed price contracts,false
SA-R00003,Quality,Incomplete waterproofing,3,1,Additional testing regime,false
SA-R00003,Schedule,Subcontractor availability,4,5,Accelerated procurement plan,true
SA-R00003,Safety,Heavy lifting accident potential,4,1,Enhanced safety training,true
SA-R00004,Structural,Slab deflection beyond limits,1,2,Design review and structural analysis,true
SA-R00004,Material,Block moisture absorption high,4,5,Alternative supplier sourcing,true
SA-R00004,Schedule,Site handover delay,1,5,Accelerated procurement plan,false
SA-R00004,Quality,Testing failure rate high,5,1,Additional testing regime,false
SA-R00005,Quality,Testing failure rate high,1,3,Additional testing regime,false
SA-R00005,Safety,Working at height risk,5,3,Enhanced safety training,false
SA-R00005,Schedule,Permit approval delay,2,4,Accelerated procurement plan,true
SA-R00006,Financial,Cash flow constraint,3,2,Fixed price contracts,true
SA-R00006,Structural,Slab deflection beyond limits,4,5,Design review and structural analysis,false
SA-R00007,Material,Concrete strength below spec,2,2,Alternative supplier sourcing,true
SA-R00007,Financial,Cement price increase,5,2,Fixed price contracts,true
SA-R00007,Quality,Tolerance deviation,3,2,Additional testing regime,false
SA-R00007,Structural,Slab deflection beyond limits,1,5,Design review and structural analysis,true
SA-R00007,Schedule,Permit approval delay,4,2,Accelerated procurement plan,true
SA-R00007,Safety,Electrical shock risk,2,2,Enhanced safety training,true
SA-R00008,Safety,Heavy lifting accident potential,1,4,Enhanced safety training,true
SA-R00008,Financial,Cement price increase,3,3,Fixed price contracts,true
SA-R00009,Schedule,Site handover delay,2,4,Accelerated procurement plan,false
SA-R00009,Financial,Currency fluctuation risk,3,2,Fixed price contracts,true
SA-R00009,Structural,Foundation settlement risk,1,2,Design review and structural analysis,true
SA-R00009,Quality,Incomplete waterproofing,3,1,Additional testing regime,true
SA-R00010,Safety,Working at height risk,1,1,Enhanced safety training,true
SA-R00010,Structural,Column failure potential,5,5,Design review and structural analysis,true
SA-R00010,Financial,Steel price volatility,5,4,Fixed price contracts,false
SA-R00011,Financial,Steel price volatility,4,3,Fixed price contracts,true
SA-R00011,Quality,Incomplete waterproofing,4,3,Additional testing regime,false
SA-R00011,Structural,Foundation settlement risk,1,4,Design review and structural analysis,true
SA-R00011,Material,Aggregate gradation issue,2,4,Alternative supplier sourcing,false
SA-R00012,Schedule,Subcontractor availability,3,5,Accelerated procurement plan,false
SA-R00012,Financial,Cash flow constraint,1,4,Fixed price contracts,true
SA-R00012,Quality,Curing duration not met,4,3,Additional testing regime,true
SA-R00012,Material,Cement setting time abnormal,4,3,Alternative supplier sourcing,false
SA-R00013,Quality,Incomplete waterproofing,3,2,Additional testing regime,false
SA-R00013,Structural,Crack propagation in shear walls,5,5,Design review and structural analysis,true
SA-R00014,Structural,Inadequate reinforcement detailing,2,2,Design review and structural analysis,false
SA-R00014,Financial,Steel price volatility,2,4,Fixed price contracts,false
SA-R00014,Quality,Curing duration not met,3,5,Additional testing regime,false
SA-R00014,Material,Steel corrosion risk,1,2,Alternative supplier sourcing,true
SA-R00014,Schedule,Material procurement delay,5,2,Accelerated procurement plan,false
SA-R00015,Safety,Electrical shock risk,5,1,Enhanced safety training,true
SA-R00015,Financial,Currency fluctuation risk,2,4,Fixed price contracts,false
SA-R00015,Schedule,Material procurement delay,4,2,Accelerated procurement plan,false
SA-R00015,Material,Aggregate gradation issue,1,4,Alternative supplier sourcing,false
SA-R00015,Structural,Foundation settlement risk,1,2,Design review and structural analysis,false
SA-R00015,Quality,Curing duration not met,3,1,Additional testing regime,true
SA-R00016,Quality,Incomplete waterproofing,3,4,Additional testing regime,true
SA-R00016,Material,Cement setting time abnormal,3,2,Alternative supplier sourcing,true
SA-R00016,Structural,Column failure potential,4,1,Design review and structural analysis,false
SA-R00016,Schedule,Permit approval delay,2,4,Accelerated procurement plan,true
SA-R00016,Safety,Fire hazard from hot work,5,4,Enhanced safety training,false
SA-R00017,Material,Cement setting time abnormal,5,4,Alternative supplier sourcing,true
SA-R00017,Financial,Steel price volatility,1,4,Fixed price contracts,true
SA-R00018,Schedule,Subcontractor availability,2,2,Accelerated procurement plan,false
SA-R00018,Financial,Steel price volatility,5,4,Fixed price contracts,false
SA-R00018,Quality,Incomplete waterproofing,1,4,Additional testing regime,true
SA-R00018,Safety,Electrical shock risk,1,3,Enhanced safety training,false
SA-R00018,Structural,Inadequate reinforcement detailing,4,4,Design review and structural analysis,true
SA-R00019,Quality,Poor workmanship risk,3,4,Additional testing regime,true
SA-R00019,Safety,Fire hazard from hot work,4,2,Enhanced safety training,true
SA-R00020,Material,Aggregate gradation issue,2,2,Alternative supplier sourcing,true
SA-R00020,Financial,Currency fluctuation risk,5,3,Fixed price contracts,true
SA-R00021,Structural,Slab deflection beyond limits,4,2,Design review and structural analysis,true
SA-R00021,Material,Cement setting time abnormal,5,1,Alternative supplier sourcing,true
SA-R00021,Quality,Poor workmanship risk,3,2,Additional testing regime,true
SA-R00021,Schedule,Material procurement delay,2,5,Accelerated procurement plan,false
SA-R00021,Financial,Steel price volatility,3,2,Fixed price contracts,true
SA-R00022,Financial,Currency fluctuation risk,2,3,Fixed price contracts,true
SA-R00022,Quality,Curing duration not met,2,3,Additional testing regime,false
SA-R00023,Structural,Slab deflection beyond limits,3,3,Design review and structural analysis,false
SA-R00023,Material,Steel corrosion risk,2,4,Alternative supplier sourcing,true
SA-R00023,Schedule,Site handover delay,1,1,Accelerated procurement plan,false
SA-R00023,Financial,Currency fluctuation risk,2,4,Fixed price contracts,true
SA-R00024,Material,Concrete strength below spec,3,5,Alternative supplier sourcing,true
SA-R00024,Structural,Inadequate reinforcement detailing,4,1,Design review and structural analysis,true
SA-R00024,Schedule,Material procurement delay,4,5,Accelerated procurement plan,false
SA-R00024,Financial,Steel price volatility,4,1,Fixed price contracts,false
SA-R00025,Quality,Testing failure rate high,4,4,Additional testing regime,true
SA-R00025,Structural,Inadequate reinforcement detailing,5,1,Design review and structural analysis,false
SA-R00025,Material,Cement setting time abnormal,5,2,Alternative supplier sourcing,true
SA-R00026,Quality,Tolerance deviation,5,1,Additional testing regime,true
SA-R00026,Safety,Electrical shock risk,1,3,Enhanced safety training,false
SA-R00026,Schedule,Permit approval delay,2,2,Accelerated procurement plan,true
SA-R00026,Material,Concrete strength below spec,4,1,Alternative supplier sourcing,false
SA-R00026,Structural,Slab deflection beyond limits,4,5,Design review and structural analysis,false
SA-R00027,Structural,Crack propagation in shear walls,2,3,Design review and structural analysis,false
SA-R00027,Quality,Testing failure rate high,2,3,Additional testing regime,false
SA-R00028,Financial,Cement price increase,1,3,Fixed price contracts,false
SA-R00028,Safety,Electrical shock risk,3,2,Enhanced safety training,false
SA-R00028,Material,Steel corrosion risk,5,5,Alternative supplier sourcing,true
SA-R00028,Structural,Inadequate reinforcement detailing,2,3,Design review and structural analysis,true
SA-R00028,Quality,Poor workmanship risk,4,3,Additional testing regime,false
SA-R00028,Schedule,Subcontractor availability,1,4,Accelerated procurement plan,false
SA-R00029,Material,Steel corrosion risk,3,2,Alternative supplier sourcing,true
SA-R00029,Structural,Crack propagation in shear walls,5,3,Design review and structural analysis,false
SA-R00029,Financial,Cement price increase,1,4,Fixed price contracts,false
SA-R00030,Quality,Poor workmanship risk,2,5,Additional testing regime,true
SA-R00030,Safety,Working at height risk,5,3,Enhanced safety training,true
SA-R00030,Structural,Column failure potential,2,3,Design review and structural analysis,true
SA-R00030,Material,Aggregate gradation issue,1,2,Alternative supplier sourcing,false
SA-R00030,Financial,Cement price increase,5,2,Fixed price contracts,true
SA-R00030,Schedule,Subcontractor availability,5,4,Accelerated procurement plan,false
SA-R00031,Quality,Incomplete waterproofing,1,5,Additional testing regime,false
SA-R00031,Schedule,Weather delay potential,4,5,Accelerated procurement plan,false
SA-R00031,Material,Block moisture absorption high,5,3,Alternative supplier sourcing,false
SA-R00031,Financial,Cement price increase,5,3,Fixed price contracts,false
SA-R00032,Quality,Tolerance deviation,5,1,Additional testing regime,false
SA-R00032,Schedule,Site handover delay,4,1,Accelerated procurement plan,true
SA-R00032,Material,Aggregate gradation issue,3,4,Alternative supplier sourcing,false
SA-R00032,Safety,Fire hazard from hot work,3,5,Enhanced safety training,false
SA-R00033,Schedule,Permit approval delay,3,1,Accelerated procurement plan,false
SA-R00033,Financial,Cash flow constraint,4,1,Fixed price contracts,true
SA-R00033,Quality,Curing duration not met,4,2,Additional testing regime,false
SA-R00034,Material,Aggregate gradation issue,2,5,Alternative supplier sourcing,true
SA-R00034,Financial,Cement price increase,4,4,Fixed price contracts,false
SA-R00035,Financial,Cash flow constraint,5,4,Fixed price contracts,false
SA-R00035,Schedule,Site handover delay,5,5,Accelerated procurement plan,true
SA-R00036,Quality,Curing duration not met,3,5,Additional testing regime,false
SA-R00036,Safety,Electrical shock risk,2,2,Enhanced safety training,false
SA-R00036,Financial,Cement price increase,4,4,Fixed price contracts,true
SA-R00036,Schedule,Weather delay potential,2,1,Accelerated procurement plan,false
SA-R00036,Material,Cement setting time abnormal,2,1,Alternative supplier sourcing,false
SA-R00037,Financial,Cement price increase,2,4,Fixed price contracts,false
SA-R00037,Structural,Foundation settlement risk,4,3,Design review and structural analysis,true
SA-R00037,Material,Steel corrosion risk,5,3,Alternative supplier sourcing,true
SA-R00037,Schedule,Site handover delay,3,2,Accelerated procurement plan,true
SA-R00037,Safety,Electrical shock risk,4,3,Enhanced safety training,false
SA-R00038,Quality,Tolerance deviation,3,2,Additional testing regime,false
SA-R00038,Safety,Electrical shock risk,1,3,Enhanced safety training,false
SA-R00038,Financial,Labor shortage cost impact,3,1,Fixed price contracts,false
SA-R00039,Structural,Inadequate reinforcement detailing,2,1,Design review and structural analysis,false
SA-R00039,Material,Cement setting time abnormal,5,2,Alternative supplier sourcing,true
SA-R00039,Schedule,Weather delay potential,5,4,Accelerated procurement plan,true
SA-R00040,Safety,Heavy lifting accident potential,4,4,Enhanced safety training,true
SA-R00040,Structural,Crack propagation in shear walls,1,5,Design review and structural analysis,false
