project_id,city,region,project_type,land_area_m2,building_area_m2,floors,units,finishing_level,construction_method,structural_system,concrete_m3,steel_ton,blocks_m2,tiles_m2,paint_m2,electrical_points,plumbing_points,estimated_cost_sar,duration_months,year
SA-R00001,Khobar,Eastern,Residential_Compound,,14450.9802684023,2,75,UltraLuxury,SlipForm,RC Frame,4395,443.69,52024,18786,63584,4335,1156,312300000,49.5,2023
SA-R00002,Jeddah,Western,Villa,349,999.7380075650924,3,1,Raw,SteelFrame,Steel Frame,531,59.72,5399,1949,6598,450,120,2720000,13,2026
SA-R00003,Riyadh,Central,Hospital,,36524.16519253611,9,353,Good,PostTension,Steel Frame,110432,14293.94,591691,213666,723178,49308,13149,947540000,133.5,2025
SA-R00004,Hail,Northern,Parking,,10326.036567677704,2,77,Standard,SteelFrame,RC Frame,3610,309.46,37174,13424,45435,3098,826,34020000,39.5,2023
SA-R00005,Makkah,Western,Hospital,,26968.679244226914,11,212,Raw,PostTension,Shear Wall,103257,13867.15,533980,192826,652642,44498,11866,267120000,122,2026
SA-R00006,Makkah,Western,Factory,,14641.325505039515,1,129,Premium,SlipForm,Steel Frame,2852,269.96,26354,9517,32211,2196,586,60600000,52,2024
SA-R00007,Buraydah,Central,Residential_Compound,,31174.460170721377,3,341,Luxury,ICF,RC Frame,14632,1494.24,168342,60790,205751,14029,3741,576670000,73,2020
SA-R00008,Khamis Mushait,Southern,University,,58839.95981222375,8,307,Good,AAC,RC Frame,89045,9950.82,847295,305968,1035583,70608,18829,1044860000,80,2026
SA-R00009,Taif,Western,School,,1027.931542619781,4,10,Luxury,PostTension,RC Frame,579,59.71,7401,2673,9046,617,164,24540000,17.5,2025
SA-R00010,Madinah,Western,Bridge,,,,,UltraLuxury,AAC,RC Frame,,,,,,,,0,16,2022
SA-R00011,Khamis Mushait,Southern,Villa,484,836.5493306966417,1,1,Good,AAC,Load Bearing,221,23.63,1506,544,1840,125,33,1930000,10,2024
SA-R00012,Khobar,Eastern,Road,,,,,Good,SlipForm,RC Frame,,,,,,,,0,15.5,2021
SA-R00013,Tabuk,Northern,Luxury_Villa,1469,2627.2425359650524,4,1,Premium,ICF,RC Frame,1918,242.57,18916,6831,23120,1576,420,37860000,21,2020
SA-R00014,Taif,Western,Factory,,14074.07438909701,2,142,Premium,SteelFrame,Precast,3667,346.62,50667,18296,61926,4222,1126,112860000,52.5,2022
SA-R00015,Makkah,Western,Mall,,23463.49448416212,6,133,UltraLuxury,ICF,RC Frame,30790,3791.95,253406,91508,309718,21117,5631,1586030000,80.5,2026
SA-R00016,Khobar,Eastern,Apartment_Building,,7659.051081935804,9,64,Standard,SteelFrame,Shear Wall,15673,1774.71,124077,44805,151649,10340,2757,126010000,40,2025
SA-R00017,Madinah,Western,Villa,248,726.7936133957385,1,1,Standard,SteelFrame,RC Frame,195,20.7,1308,472,1599,109,29,1340000,11,2021
SA-R00018,Makkah,Western,Parking,,12115.276180727014,2,74,Luxury,ICF,RC Frame,4638,407.14,43615,15750,53307,3635,969,162990000,42,2023
SA-R00019,Jeddah,Western,Government_Building,,3670.305204052369,4,38,Premium,SteelFrame,RC Frame,3348,362.22,26426,9543,32299,2202,587,61310000,34.5,2022
SA-R00020,Madinah,Western,DataCenter,,3119.932459344994,1,32,Premium,Precast,RC Frame,1130,136.34,5616,2028,6864,468,125,12910000,25.5,2021
SA-R00021,Dammam,Eastern,Townhouse_Project,,6232.449392152498,2,32,Raw,SlipForm,RC Frame,2441,259.84,22437,8102,27423,1870,499,11490000,30.5,2021
SA-R00022,Taif,Western,Hospital,,46986.36698225486,5,559,Raw,SlipForm,Steel Frame,70823,9565.88,422877,152706,516850,35240,9397,197380000,143.5,2021
